Year,Emissions.HFC134a eq Emissions,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Emissions.Total CH4 Emissions,Emissions.CO Emissions,Emissions.Total N2O Emissions,Emissions.Total NOx Emissions,Emissions.Total SO2 Emissions,Emissions.VOC Emissions,CO2 Forcing.Atmos CO2 exogenous
2176,257.5427734188341,275.7852661790871,0.04749695590062488,95.32509858393746,277.39488842477704,7595.870552000794,29.38287740955832,4.661885284537931,50.60573424223719,404.7040023803711
2177,256.6593078123742,272.49025161802,0.04698596363150263,94.97154273763566,276.39645368832106,7585.855460499602,29.226994655859865,4.617037094742583,50.45179579414157,404.573003133138
2178,255.7750572530508,269.21056213496985,0.04648042124857628,94.61798689133386,275.3980189518651,7575.840368998411,29.0711119021614,4.572188904947235,50.29785734604596,404.4490000406901
2179,254.89001072577088,265.94593572002077,0.04598025969210765,94.26443104503204,274.39958421540905,7565.82527749722,28.91522914846294,4.527340715151888,50.143918897950336,404.3330001831055
2180,254.00415753585125,262.6961156930861,0.045485410935713365,93.91087519873024,273.4011494789531,7555.810185996028,28.75934639476448,4.48249252535654,49.98998044985472,404.2250035603841
2181,253.11748729898304,259.460850575661,0.04499580796690913,93.55731935242844,272.4027147424971,7545.795094494836,28.60346364106602,4.437644335561193,49.836042001759104,404.12500254313153
2182,252.22998993154027,256.23989396623995,0.044511384768162264,93.20376350612662,271.40428000604106,7535.780002993644,28.44758088736756,4.392796145765845,49.68210355366349,404.0329996744792
2183,251.34165564119982,253.03300441926842,0.0440320762984319,92.85020765982482,270.4058452695851,7525.764911492453,28.291698133669097,4.347947955970497,49.528165105567865,403.948003133138
2184,250.45247491786927,249.8399453275091,0.0435578184751781,92.49665181352302,269.4074105331291,7515.749819991262,28.13581537997064,4.3030997661751496,49.37422665747225,403.8709971110026
2185,249.56243852491676,246.66048480770382,0.043088548156821636,92.1430959672212,268.4089757966731,7505.73472849007,27.979932626272173,4.258251576379802,49.22028820937663,403.802001953125
2186,248.6715374906888,243.49439558942132,0.042624203125637444,91.7895401209194,267.4105410602171,7495.719636988878,27.824049872573717,4.213403386584455,49.06634976128102,403.7410024007161
2187,247.77976310030132,240.34145490698108,0.042164722071065835,91.4359842746176,266.4121063237611,7485.704545487686,27.668167118875253,4.168555196789107,48.9124113131854,403.687001546224
2188,246.88710688768825,237.20144439435398,0.041710044573426225,91.0824284283158,265.41367158730515,7475.689453986495,27.512284365176797,4.123707006993759,48.75847286508978,403.6420008341472
2189,245.99356062792438,234.07414998293885,0.041260111088019025,90.72887258201398,264.4152368508491,7465.674362485303,27.35640161147833,4.078858817198412,48.60453441699416,403.60400136311847
