Year,Emissions.HFC134a eq Emissions,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Emissions.CO Emissions,Emissions.CO2 Emissions from Fossil use,Emissions.Total NOx Emissions,Emissions.Total SO2 Emissions,Emissions.VOC Emissions,N2O Forcing.Atmos N2O exogenous,CH4 Forcing.Atmos CH4 exogenous
2122,1131.7016997923286,505.18591046464485,0.08637051807428013,360.8337386778124,12358.771851219644,68.62010328630299,26.59963595287377,108.90283527344936,378.2139841715495,1603.7297668457031
2123,1127.7032335256274,500.30616515977545,0.08541637667002151,359.738849351107,12262.21894613199,68.20773861536765,26.407692409940207,108.36665731012648,378.2369791666667,1599.4797668457031
2124,1123.6343439687323,495.46993117938246,0.08447391739147833,358.6439600244016,12165.666041044336,67.7953739444323,26.21574886700665,107.83047934680356,378.2579803466797,1595.219757080078
2125,1119.496745643746,490.67625317938723,0.08354294795500382,357.5490706976961,12069.113135956684,67.38300927349695,26.023805324073088,107.29430138348069,378.2769826253255,1590.92973836263
2126,1115.2921130215516,485.92420379207925,0.0826232812983725,356.4541813709908,11972.56023086903,66.97064460256159,25.831861781139526,106.7581234201578,378.2949803670247,1586.6097513834636
2127,1111.0220807914895,481.2128824526086,0.08171473531844169,355.3592920442854,11876.007325781376,66.55827993162625,25.639918238205965,106.2219454568349,378.3109792073568,1582.27973429362
2128,1106.6882442275812,476.5414142959028,0.08081713262803723,354.26440271758,11779.454420693724,66.1459152606909,25.447974695272404,105.68576749351202,378.32598368326825,1577.9197387695312
2129,1102.2921596360236,471.90894911859243,0.07993030033043237,353.16951339087456,11682.90151560607,65.73355058975555,25.25603115233884,105.14958953018912,378.3389841715495,1573.54975382487
2130,1097.835344871058,467.31466040100713,0.07905406980993486,352.07462406416914,11586.348610518417,65.3211859188202,25.06408760940528,104.61341156686623,378.349983215332,1569.1597391764324
2131,1093.3192799075127,462.75774438473303,0.07818827653723132,350.97973473746373,11489.795705430764,64.90882124788486,24.87214406647172,104.07723360354332,378.35998280843097,1564.759745279948
2132,1088.7454074598925,458.23741920160853,0.07733275988825657,349.8848454107583,11393.242800343109,64.49645657694951,24.68020052353816,103.54105564022043,378.3679809570313,1560.3497314453125
2133,1084.1151336392763,453.75292405039306,0.07648736297546713,348.78995608405296,11296.689895255457,64.08409190601417,24.488256980604596,103.00487767689756,378.3749821980794,1555.9197285970051
2134,1079.4298286401754,449.30351841766486,0.07565193249049604,347.69506675734755,11200.1369901678,63.67172723507881,24.29631343767103,102.46869971357468,378.38097890218097,1551.479736328125
2135,1074.6908274506725,444.88848133979207,0.07482631855725741,346.60017743064213,11103.584085080149,63.259362564143466,24.10436989473747,101.93252175025177,378.3839823404948,1547.029754638672
2136,1069.8994305800354,440.5071107030906,0.07401037459465087,345.5052881039367,11007.031179992497,62.84699789320812,23.91242635180391,101.39634378692888,378.3869806925456,1542.5797220865886
