,Global Mean Surface Temperature (GMST),Ocean Heat Content|Global|Total,Atmospheric Concentrations|CO2,Carbon Flux to Oceans,Carbon Flux to Land,Effective Radiative Forcing|Aerosols,ECS,TCR
72573,1.2724465978406545,401.18074498905133,408.11780598460007,3.4343693508779998,1.8936770618220002,-1.20318402640683,3.585792849935363,2.2215719144420216
18334,1.320300929890462,401.386828767288,408.31943583739996,3.101701662317,2.800848269179,-1.216944113595,3.052782048588768,2.0967493561653883
79374,1.263944093911777,491.6037697105991,408.3459996709,3.2611464653059996,2.6947143817779997,-1.4960394835083997,4.124087131818473,1.811591580256493
47637,1.0503147346697117,312.48886461674704,408.8023466793,3.677790447735,1.8463991241680002,-1.8836419009065999,1.9951422753669132,1.5911689934830642
84018,1.1199781029281195,384.7049914400421,409.06195468120006,2.815847984837,3.5744136403669997,-1.8012870629245001,4.580155117125706,2.455186813755729
69466,1.0948487046449424,378.85281930823606,408.05381507789997,3.562251914491,2.2500376074230006,-1.4337507446631,3.1440215299672234,1.6138786312555713
31546,1.4823315536146353,435.066381852739,410.9980457160999,1.937462452073,4.120038883166,-1.3933166891851996,3.3183981589048988,1.9304001620020903
5980,1.3449709111940489,504.9660588025691,409.5227520456,3.309863328371,2.235566949052,-0.9121495430071999,3.6655974529120816,1.927496091064836
91140,1.4030870207939168,349.814046463154,408.3287072534,3.087998190669,2.9751105416899994,-1.0977017422778002,2.8854542712717324,2.0126042194744023
70581,1.3113120871418633,509.140690471504,409.9717281108,2.857998835984,2.944394390058,-1.0153542593672,3.0413252343667505,1.8270220532189687
61538,1.0068568327265353,385.9991528598478,408.2167348348,3.488140168367,2.2062838481990004,-1.0134448612686602,2.267517340583164,1.6124395333528352
86991,1.1192239445269894,352.538255971083,408.941397241,2.652730163632,3.2180722819080003,-1.49635864582261,3.009994215928848,1.7280014811995634
88018,1.2770985889807622,425.27566996187005,409.3539838023,2.87369415424,2.928475874103,-1.7654576688619001,6.20801056608604,2.522416747627854
16402,1.092941379194309,429.355666401935,407.91098896380004,3.5196364802830002,2.964274139603,-1.5431064186746,3.512555757622245,2.131105443962795
71590,0.8901156688611405,230.29340994996699,410.5526114024,3.1467662400889997,2.891633678491,-2.2083217583547,1.815624239868597,1.3987198303354471
70173,1.0219673054809542,425.01734853905606,409.43204785529997,2.971167150743,3.0397802119799997,-1.3246064123250603,2.6852572222829263,1.6798218049257292
83871,0.7548158390492076,431.540859953476,404.38771046520003,4.24706380164,1.9618627194969995,-0.8444144668275,2.486630370607049,1.538836061148458
8238,1.1989361189591163,333.14539751584,409.7478963157,3.1312811149520003,2.84289375703,-1.8106384933802002,3.702038967353869,2.3026216427486754
29790,1.420128585893062,292.087856431826,407.4969879463,2.672220584645,3.335256002941,-1.45320127317586,2.0552092311341994,1.532986561762776
89310,1.2899392366006603,448.47362813526,409.93779124319997,2.2365060506820003,3.2785242832979997,-0.95180723420442,1.8172718872408613,1.2297563898404438
9231,1.2393098338905622,546.19946454073,408.8299661872,2.9503841771170003,2.7517745906039996,-1.4473560232576002,4.966307254388477,2.054182830992516
37159,0.8960701500434235,278.687218208945,409.3722082578,3.8121516566969995,1.9155884340859999,-1.9508412960639998,2.3741539655065966,1.6893717707941964
300,1.1474571078852602,454.8439189379541,410.37606983190005,3.4801766934050002,2.4864830499110004,-1.1419964334422998,3.629641921850092,1.7598593720548976
16546,1.2194272347490267,430.279857233044,408.6264451447,2.4199625085800003,3.7337121652150005,-0.82345742974335,3.186141013622501,2.144403683617865
77195,1.1909841493843742,424.352887902034,408.2795128196,3.3941250215159995,2.382590135114,-0.844024541284,2.2431882290795238,1.427081559590699
39666,1.1296747511424552,454.94097596129,408.82444851310004,2.9794326290120003,2.81123436732,-1.2437436054892002,3.764918135999349,2.1805037764913044
9900,1.189054631377472,485.903898173967,407.2488334556,3.821640890463,2.1977039715300006,-1.0647828303737001,3.5645163639678894,2.094779650032131
45123,1.2035847115978493,401.99738430296907,409.1599361265,3.0006529922750005,2.718238738411,-1.1542489273154999,2.374875836604035,1.606265215320143
75502,1.2966719968988336,399.74629491523996,407.7773905151,2.320573241939,4.110458137042,-0.7850483637714001,3.017531097071502,2.0714928231174548
67466,1.3159192158874646,363.191018751197,408.04468565879995,3.5893514039479997,1.907021636043,-1.3696070033123,2.8445182597390506,1.843144676434788
55898,0.949368113496672,378.93020946662705,408.103005422,3.186364049732,2.619016481512,-1.3909549835592,3.6601938579430415,1.694771725867773
52778,1.2193095769486102,493.96918911349115,411.0216669341,3.3200656474910004,2.1330114494770003,-1.2344095696146,3.0759683496711703,1.7726028289032785
49986,1.1013528160561252,461.846609877926,409.2889540862,3.4799224988360002,2.442934085991,-1.2039223966155,2.3488466752628314,1.7671078501994415
39625,1.0640519955425658,619.53773140805,409.18534184,2.996003341677,3.336295975265,-0.48260824280989995,2.019740617172815,1.3883274044147051
58570,1.1698396676846003,566.5781351361949,408.37320800040004,2.4721745055219997,3.426064042817,-1.5014688652521,3.742563349252759,1.9052431918930808
61004,1.130619371559269,342.96768530388005,412.0147918472,3.220162825261,2.9935090876649997,-2.1670377266359,5.884807510229237,2.1748919051947904
67306,1.2812344579861983,297.429301512434,408.4454117314,3.2721808488609994,2.6792649532510002,-1.7290958159900998,1.947506071724273,1.3625456295007363
98010,0.9716170094572647,294.154353714767,408.8628555083,3.6372107181320006,2.137619973169,-1.4240930545862,2.5655728840008134,1.6145527884342026
73331,1.255415466237003,459.5713662337979,409.030298359,2.535295990739,3.747374949732,-1.1966316451991301,3.2581914320037355,1.9576548990634663
4794,1.2219280101528975,361.91641510297,407.55400969000004,3.124615320449,2.975835500509,-1.1164156375857999,2.431296814129144,1.638087053976034
50752,1.1547711178466684,495.2986768146689,408.953356584,3.4013806963810005,2.19773333443,-0.9641955259482999,4.568403456689995,2.3289091413048757
39270,1.0339679326836744,430.165750288547,407.97296835090003,3.7400193068729997,2.0152054719450003,-0.7090053755439001,2.222448257966817,1.6003021277245997
55074,1.054727263275349,420.75382440728,406.2306214519,3.1038747077110003,3.38539609174,-2.0487437107132003,4.597221917864867,2.0247055559946108
58016,1.2694712718095453,470.891061665661,408.2741339736,2.632138826797,3.150719476514,-1.4539193842793996,3.0478399638878835,1.7578138210393397
89133,1.3576440273443198,586.8784101906181,409.1589131293,2.3949364484689997,3.524301086709,-1.20730481964139,5.179669692382353,1.9635362992756549
4026,1.01484635170215,436.97163362434395,410.15279880540004,3.924991299665,1.90633142695,-0.9779535958720998,2.0987586053364096,1.5081733680962923
73577,1.202093313886282,485.71317579057,409.79673423120005,2.372766111667,3.4109732177399996,-0.42527953873024,2.137791888889001,1.494599163485295
