Year,Natural Forcing.Baseline Effective Radiative Forcing from Solar Output Variations,Natural Forcing.Baseline Effective Radiative Forcing from Volcanoes,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine
2047,0.0448636155076753,0.0,0.2348577097471648,1049.9388850842965
2048,0.0474979994191086,0.0,0.23095022582941196,1038.1170404697648
2049,0.0252121771515063,0.0,0.2271444808028203,1026.499475441407
2050,-0.0093094832722957,0.0,0.22343393294119665,1015.0765376276738
2051,-0.0263291241514682,0.0,0.21981254204745004,1003.839159889224
2052,-0.0420018374869509,0.0,0.21631547230164896,992.1936174049092
2053,-0.0532385962057158,0.0,0.21292854647748619,980.5855732527821
2054,-0.0489320651430249,0.0,0.20964436040525197,969.145152049783
2055,-0.0280171930325735,0.0,0.20645649364779137,957.9054527912435
2056,-0.0021266972061613,0.0,0.20335896591246852,946.8699106447045
2057,-0.0013580996972667,0.0,0.20034621301057423,936.0331390149611
2058,0.0029300525929704,0.0,0.19741307847159817,925.3873872805949
2059,0.0061570658501522,0.0,0.1945547917881707,914.9245313901324
2060,-0.0153667780927499,0.0,0.19176694140466313,904.636672296491
2061,-0.033606818861989,0.0,0.1890454472871914,894.5163000078649
2062,-0.0486085132648131,0.0,0.1863977490549138,884.910403783291
2063,-0.0539131826381985,0.0,0.18381722189895214,875.5917664189133
2064,-0.0558743814722778,0.0,0.1812995414711641,866.4845326437098
2065,-0.0494437643617575,0.0,0.1788411045144989,857.5599647610762
2066,-0.0208680642467228,0.0,0.17643867977446231,848.8042643057308
2067,0.0046658207998338,0.0,0.17408930512526916,840.208576824907
2068,0.0188136368262599,0.0,0.17179024503632048,831.7658590468076
2069,0.0130741946894866,0.0,0.1695389659283464,823.4698801093153
2070,-0.0027110337993733,0.0,0.16733311793031996,815.3148905127083
2071,-0.0252239188057911,0.0,0.16517051952963738,807.2955018423546
2072,-0.0361180296136234,0.0,0.16304671283694183,798.823673992278
2073,-0.0442323138320121,0.0,0.16096382518579222,790.3095077476866
2074,-0.0560626014497378,0.0,0.15892097783391243,781.876331299693
2075,-0.0608807035072147,0.0,0.15691667015640912,773.5590336754888
2076,-0.0657177970796792,0.0,0.15494931630704287,765.3652273521617
2077,-0.059358171802371,0.0,0.15301738200609685,757.2941910233975
2078,-0.0414566490337424,0.0,0.1511194190131278,749.3427557506184
2079,-0.0220946549733895,0.0,0.14925407040766064,741.5071348352635
2080,-0.0084847032176101,0.0,0.14742006726952755,733.7834882999969
2081,-0.0067239319157968,0.0,0.14561622302022245,726.1680913989367
2082,-0.0078078093371452,0.0,0.1438575829880789,719.7555711319609
2083,-0.0222232636393849,0.0,0.14213189060707573,713.7925823595021
2084,-0.0289004142671792,0.0,0.14043569428707892,708.0432172311125
2085,-0.050547089088864,0.0,0.13876737831396924,702.4316437495303
2086,-0.0624955137463987,0.0,0.13712582268161888,696.9318660962789
2087,-0.0634668105009994,0.0,0.13551008775887427,691.5335496167934
2088,-0.0617758359100574,0.0,0.13391932499357997,686.2313716982707
2089,-0.0450856445121337,0.0,0.13235274721427026,681.0216838138657
2090,-0.0173548550349346,0.0,0.13080961673666622,675.9014565409396
2091,0.0030587894829414,0.0,0.12928923925787114,670.8679409731708
2092,0.0295767197620272,0.0,0.12778778763543147,666.0567199281292
2093,0.0186150099185144,0.0,0.12630851258636128,661.3748308407589
2094,-0.0036515995367343,0.0,0.12485117202424231,656.7916579772315
2095,-0.0213273625932564,0.0,0.12341516991756217,652.2959397487721
2096,-0.0419900304861196,0.0,0.12199991649275924,647.8825031169388
2097,-0.0490450304817286,0.0,0.12060485723740874,643.5481475332366
2098,-0.0556009095886441,0.0,0.11922946943698678,639.290358768113
2099,-0.0460946391209705,0.0,0.11787325815820399,635.1069023946983
2100,-0.0241900060007853,0.0,0.11653575347501467,630.9956921908014
2101,0.0016533690259855,0.0,0.11521650837992378,626.954745042294
2102,0.0002273045059623,0.0,0.1138993652430414,621.477155888907
2103,-0.0007976326194716,0.0,0.11259673895518486,615.6036139132541
2104,-0.0119603091666481,0.0,0.1113111535751392,609.6554752349501
2105,-0.0331907320014277,0.0,0.11004299127975843,603.73153683352
2106,-0.045288409387996,0.0,0.10879208906797336,597.8614479867641
2107,-0.0552232471849635,0.0,0.10755813621676236,592.0533096384231
2108,-0.0562745407640344,0.0,0.10634078722572533,586.3085100511055
2109,-0.0498570730357737,0.0,0.10513969590989784,580.6263677837712
2110,-0.0291680461201082,0.0,0.1039545255814657,575.0055893350516
2111,0.01406583631782,0.0,0.10278495169001052,569.4447270475081
2112,0.0160144398888298,0.0,0.10163066207342251,563.9423220266973
2113,0.0185133710326174,0.0,0.10049135647877239,558.4969475302161
2114,-0.0063382341418443,0.0,0.09936674589028817,553.1072208891617
2115,-0.0136634999541186,0.0,0.09825655183641735,547.7718055380793
2116,-0.0348314075192926,0.0,0.09716050572868846,542.489410010164
2117,-0.045914612633372,0.0,0.09607834824626528,537.2587860769812
2118,-0.0530414731855942,0.0,0.0950098287676381,532.0787267209963
2119,-0.0527987879062946,0.0,0.09395470484709119,526.94806415299
2120,-0.0330247658937021,0.0,0.09291274173259145,521.865667934428
2121,-0.0022843470886499,0.0,0.0918837119216539,516.8304432166811
2122,0.0304376040965988,0.0,0.09086739475192265,511.8413290941371
2123,0.0116005163263848,0.0,0.08986357602346072,506.8972970640515
2124,0.0160023345161335,0.0,0.0888720476500018,501.99734958519593
2125,-0.0107916671603629,0.0,0.08789260733666072,497.1405187276011
2126,-0.0342684546710457,0.0,0.08692505828182664,492.3258649062313
2127,-0.0461522116942749,0.0,0.08596920890116594,487.5524756920186
2128,-0.0558820965161381,0.0,0.08502487257185014,482.8194646942454
2129,-0.0533457914647031,0.0,0.08409186739529312,478.1259705087957
2130,-0.0334538048957852,0.0,0.08317001597683508,473.4711557272667
2131,0.0180703571333118,0.0,0.08225914522095225,468.8542060023726
2132,0.0261844874362157,0.0,0.08135908614069555,464.2743291654669
2133,0.0358810545728605,0.0,0.08046967368017946,459.73075439236374
2134,0.0189843377625884,0.0,0.0795907465490446,455.2227314139716
2135,-0.0065576253955944,0.0,0.07872214706791422,450.749529768542
2136,-0.0370619503119505,0.0,0.07786372102395034,446.3104380926069
2137,-0.0464343044810804,0.0,0.07701531753569418,441.904763447923
2138,-0.0556124497481059,0.0,0.07617678892644668,437.5318306819627
2139,-0.0600508378180018,0.0,0.07534799060550999,433.19098181969105
2140,-0.0567306660922196,0.0,0.07452878095666972,428.88157548455575
2141,-0.0361647593184242,0.0,0.07371902123335144,424.6029863467806
2142,-0.0147774245313871,0.0,0.0729185754599339,420.3546045972068
2143,-0.0118716123792112,0.0,0.07212731033874573,416.13583544506605
2144,-0.0071376821334751,0.0,0.07134509516231276,411.94609863819306
2145,-0.0107098175108548,0.0,0.07057180173046051,407.78482800430396
2146,-0.0291580873899114,0.0,0.06980730427190895,403.65147101207
2147,-0.0312504892654322,0.0,0.06905147937002845,399.54548835081204
2148,-0.0436964617905468,0.0,0.06830420589245241,395.4663535277326
2149,-0.050417967526908,0.0,0.06756536492426847,391.4135524816772
2150,-0.0535521893537309,0.0,0.06683483970453277,387.38658321249414
2151,-0.0530821629330306,0.0,0.06611251556587286,383.3849554251301
2152,-0.0348994363038777,0.0,0.06539827987696477,379.4081901876556
2153,8.565973391955593e-05,0.0,0.06469202198768598,375.4558196024762
2154,0.0267529166635029,0.0,0.06399363317676342,371.52738649003487
2155,0.025717807101217,0.0,0.06330300660174967,367.6224440843578
2156,0.0207671200325802,0.0,0.06262003725117384,363.740555739842
2157,0.004258282205563,0.0,0.06194462189872553,359.88129464872145
2158,-0.0196033482524808,0.0,0.06127665905934278,356.0442435686852
2159,-0.039213412999923,0.0,0.06061604894708299,352.2289945601577
2160,-0.0498546865279967,0.0,0.05996269343466712,348.43514873278025
2161,-0.0486721978484936,0.0,0.059316496014595,344.662316000662
2162,-0.0307334046389392,0.0,0.058677361761737164,340.91011484599665
2163,0.0053770365532772,0.0,0.058045197297316664,337.1781720906658
2164,0.0404094085907836,0.0,0.057419910754200186,333.4661226754709
2165,0.0293441098757135,0.0,0.05680141174342399,329.77360944665975
2166,0.0347081469583234,0.0,0.05618961132188572,326.10028294942924
2167,0.0009203124522238,0.0,0.05558442196113795,322.4458012281099
2168,-0.0231756385963862,0.0,0.0549857575172248,318.8098296327476
2169,-0.0403948261393674,0.0,0.05439353320150547,315.1920406318201
2170,-0.0501599808509473,0.0,0.053807665552414834,311.5921136308363
2171,-0.0527272816589682,0.0,0.05322807240811238,308.00973479658086
2172,-0.0424553200929209,0.0,0.052654672879975946,304.44459688678097
2173,-0.0113318748471047,0.0,0.05208738732689877,300.8963990849805
2174,0.0068805056243188,0.0,0.051526137330351315,297.36484684042244
2175,0.0230156146514947,0.0,0.05097084567017213,293.8496517127453
2176,0.0237304214942189,0.0,0.05042143630105411,290.35053122131364
2177,0.0074742681992436,0.0,0.04987783432969497,286.8672086990087
2178,-0.0158239032878049,0.0,0.04933996599258229,283.39941315031507
2179,-0.0298914431529786,0.0,0.04880775863438611,279.94687911354697
2180,-0.0454532326905965,0.0,0.04828114068693281,276.5093465270635
2181,-0.0548026297432911,0.0,0.0477600416487365,273.0865605993327
2182,-0.0630198643992228,0.0,0.047244392065064936,269.6782716827069
2183,-0.0663171016637714,0.0,0.046734123508518785,266.28423515078043
2184,-0.0625536913547698,0.0,0.04622916856010387,262.90421127920564
2185,-0.0484796054094831,0.0,0.045729460790777804,259.53796512984877
2186,-0.0154869733728859,0.0,0.045234934743452804,256.1852664381729
2187,-0.0101466149878397,0.0,0.044745525915438,252.84588950373887
2188,-0.000577550497648,0.0,0.04426117074130514,249.51961308372032
2189,0.0063110201255977,0.0,0.04378180657616288,246.20622028933425
2190,-0.0163832590909994,0.0,0.04330737167932495,242.90549848509048
2191,-0.0362124586441822,0.0,0.042837805198359086,239.61723919076974
2192,-0.0491652344035871,0.0,0.042373047153503596,236.3412379860412
2193,-0.0535783897898594,0.0,0.04191303842243945,233.07729441763644
2194,-0.0555119221368096,0.0,0.04145772072540625,229.82521190899786
2195,-0.0470956411008606,0.0,0.041007036610651255,226.58479767232424
2196,-0.0174164222878021,0.0,0.040560929440200594,223.3558626229382
2197,0.0136547929343593,0.0,0.04011934337594294,220.13822129590378
