Year,Emissions.CO2 Emissions from Fossil use,Emissions.Total CH4 Emissions,Emissions.Total SO2 Emissions,Emissions.Total N2O Emissions,Emissions.N2O non AFOLU Emissions,Emissions.HFC134a eq Emissions,Land Use.clearing forest for grassland exogenous,Land Use.clearing forests for crops exogenous,Land Use.foresting grassland exogenous,Land Use.clearing grassland exogenous,Land Use.degraded land from grassland exogenous,Land Use.forresting cropland exogenous,Land Use.fallowing cropland exogenous,Land Use.degraded land from crops exogenous,Land Use.foresting degraded land exogenous,Forest.cutting exogenous,Crop.crop production exogenous
2015,35635.28629838611,388.0727956633218,100.77116698064656,10900.0,1959.392162636108,539.3818238924625,0.0,0.0,1.975327362060547,0.0,0.6504636354923249,0.6503713607788058,3.742307201385501,0.4302092189066112,0.0,1.3780580572783947,4.1609817
2016,35811.85483264963,382.2397874715823,96.52676504699508,10861.27696503402,1952.4312808722707,594.6292058072686,0.0,0.0,1.97797963256836,0.0,0.6504701315402985,0.654521568298339,3.738361476898192,0.4300076098080724,0.0,1.3546068295836449,4.2332247
2017,35988.42336691315,376.4067792798428,92.2823631133436,10822.55393006804,1945.4703991084332,627.2029501030968,0.0,0.0,1.9796337829589843,0.0,0.6503106387376785,0.6444972930908186,3.748683027648928,0.4297106875117868,0.0,1.3294173069298267,4.3364835
2018,36164.99190117666,370.5737710881033,88.0379611796921,10783.83089510206,1938.509517344596,661.4834754640208,0.0,0.0,1.966277136230469,0.0,0.6501459967851639,0.6439767135620151,3.749532453918458,0.4293821747291833,0.0,1.3042663857340813,4.36283685
2019,36341.56043544018,364.7407628963638,83.79355924604062,10745.10786013608,1931.5486355807589,697.3055117524349,0.0,0.0,1.9630025390625,0.0,0.6498582634449006,0.6459479095458995,3.747959351348877,0.4289841176249087,0.0,1.279752967879176,4.4112105
2020,36518.1289697037,358.90775470462427,79.54915731238914,10706.3848251701,1924.5877538169216,734.5120215265414,0.0,0.0,1.8141242126464845,0.0,0.6470945862695575,0.8377344680786116,2.0303749420166017,0.4258850449590012,0.0,1.257669411599636,4.3993791
2021,35113.81045807332,347.3196812781956,75.23983179559715,10475.122251746565,1883.0158204336983,772.960527719158,0.0,0.0,1.8151892822265625,0.0,0.6465411278516054,0.8538464126586902,2.014946405029296,0.4252030984871089,0.0,1.2215027902275324,4.5204404821094855
2022,33709.49194644294,335.73160785176697,70.93050627880517,10243.85967832303,1841.4438870504755,733.0516744219047,0.0,0.0,1.8262471801757807,0.0,0.6461920403003694,0.8607192932128918,2.0092413208007827,0.4240346984622068,0.0,1.19694016687572,4.614468847099361
2023,32305.17343481256,324.1435344253383,66.62118076201318,10012.597104899494,1799.8719536672522,693.4824130875469,0.0,0.0,1.8444212890625,0.0,0.6460221874289215,0.851581460571289,2.0198599678039564,0.4225538589636795,0.0,1.1764049865305424,4.708497212089236
2024,30900.85492318218,312.5554609989097,62.3118552452212,9781.33453147596,1758.3000202840292,653.5241168818753,0.0,0.0,1.8396244140625,0.0,0.6384700414583087,0.8312167846679657,2.0283232551574724,0.4344561122688465,0.0,1.1651802072301507,4.802525577079112
2025,29496.5364115518,300.9673875724811,58.00252972842922,9550.071958052424,1716.728086900806,612.8046630908136,0.0,1.452835009765625,2.330629370117188,2.326113198089601,0.6383604344427586,0.0,0.0,0.4334500525336713,0.0,1.1577978217974303,4.896553942068988
2026,28092.217899921423,289.3793141460524,53.69320421163724,9318.80938462889,1675.156153517583,571.1413421632327,0.0,1.420632971191406,2.323722247314453,2.360104164886476,0.6365038631319999,0.0,0.0,0.4352381346151233,0.0,1.1531151700764894,4.990582307058864
2027,26687.899388291044,277.7912407196238,49.38387869484525,9087.546811205357,1633.58422013436,528.4516419801429,0.0,1.3574710815429718,2.240769104003906,2.423524562072757,0.6362503127515318,0.0,0.0,0.4354963579121977,0.0,1.1502922140061855,5.084610672048739
